WSC Option,Assignment Scope (MG),ID,Assignment Name,Definition Name,Type,Custom/Builtin,Description,Effect,GitHub Assignment File,AzAdvertizer Link,Release,Status
Customer Managed Keys,Variable *,Enforce-Encryption-CMK_20250218,Enforce recommended guardrails for Customer Managed Keys,Deny or Audit resources without Encryption with a customer-managed key (CMK),Initiative,Custom,Deny or Audit resources without Encryption with a customer-managed key (CMK),Audit,ENFORCE-EncryptionCMKPolicyAssignment.json,Deny or Audit resources without Encryption with a customer-managed key (CMK),20/03/2025,NEW
AI Bot Service,Variable *,Enforce-Guardrails-BotService,Enforce recommended guardrails for Bot Service,Enforce recommended guardrails for Bot Service,Initiative,Custom,This policy initiative is a group of policies that ensures Bot Service is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsBotServicePolicyAssignment.json,Enforce recommended guardrails for Bot Service,20/03/2025,NEW
AI Search,Variable *,Enforce-Guardrails-CognitiveServices,Enforce recommended guardrails for Cognitive Services,Enforce recommended guardrails for Cognitive Services,Initiative,Custom,This policy initiative is a group of policies that ensures Cognitive Services is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsCognitiveServicesPolicyAssignment.json,Enforce recommended guardrails for Cognitive Services,20/03/2025,NEW
Machine Learning,Variable *,Enforce-Guardrails-MachineLearning,Enforce recommended guardrails for Machine Learning,Enforce recommended guardrails for Machine Learning,Initiative,Custom,This policy initiative is a group of policies that ensures Machine Learning is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsMachineLearningPolicyAssignment.json,Enforce recommended guardrails for Machine Learning,20/03/2025,NEW
Azure OpenAI,Variable *,Enforce-Guardrails-OpenAI,Enforce recommended guardrails for OpenAI,Enforce recommended guardrails for Open AI (Cognitive Service),Initiative,Custom,This policy initiative is a group of policies that ensures Open AI (Cognitive Service) is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsOpenAIPolicyAssignment.json,Enforce recommended guardrails for Open AI (Cognitive Service),20/03/2025,NEW
Data Explorer,Variable *,Enforce-Guardrails-DataExplorer,Enforce recommended guardrails for Data Explorer,Enforce recommended guardrails for Data Explorer,Initiative,Custom,This policy initiative is a group of policies that ensures Data Explorer is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsDataExplorerPolicyAssignment.json,Enforce recommended guardrails for Data Explorer,20/03/2025,NEW
Data Factory,Variable *,Enforce-Guardrails-DataFactory,Enforce recommended guardrails for Data Factory,Enforce recommended guardrails for Data Factory,Initiative,Custom,This policy initiative is a group of policies that ensures Data Factory is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsDataFactoryPolicyAssignment.json,Enforce recommended guardrails for Data Factory,20/03/2025,NEW
Synapse,Variable *,Enforce-Guardrails-Synapse,Enforce recommended guardrails for Synapse,Enforce recommended guardrails for Synapse workspaces,Initiative,Custom,This policy initiative is a group of policies that ensures Synapse workspaces is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsSynapsePolicyAssignment.json,Enforce recommended guardrails for Synapse workspaces,20/03/2025,NEW
Compute,Variable *,Enforce-Guardrails-Compute,Enforce recommended guardrails for Compute,Enforce recommended guardrails for Compute,Initiative,Custom,This policy initiative is a group of policies that ensures Compute is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsComputePolicyAssignment.json,Enforce recommended guardrails for Compute,20/03/2025,NEW
Virtual Desktop,Variable *,Enforce-Guardrails-VirtualDesktop,Enforce recommended guardrails for Virtual Desktop,Enforce recommended guardrails for Virtual Desktop,Initiative,Custom,This policy initiative is a group of policies that ensures Virtual Desktop is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsVirtualDesktopPolicyAssignment.json,Enforce recommended guardrails for Virtual Desktop,20/03/2025,NEW
Container Apps,Variable *,Enforce-Guardrails-ContainerApps,Enforce recommended guardrails for Container Apps,Enforce recommended guardrails for Container Apps,Initiative,Custom,This policy initiative is a group of policies that ensures Container Apps is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsContainerAppsPolicyAssignment.json,Enforce recommended guardrails for Container Apps,20/03/2025,NEW
Container Instance,Variable *,Enforce-Guardrails-ContainerInstance,Enforce recommended guardrails for Container Instance,Enforce recommended guardrails for Container Instance,Initiative,Custom,This policy initiative is a group of policies that ensures Container Apps is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsContainerInstancePolicyAssignment.json,Enforce recommended guardrails for Container Instance,20/03/2025,NEW
Container Registry,Variable *,Enforce-Guardrails-ContainerRegistry,Enforce recommended guardrails for Container Registry,Enforce recommended guardrails for Container Registry,Initiative,Custom,This policy initiative is a group of policies that ensures Container Apps is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsContainerRegistryPolicyAssignment.json,Enforce recommended guardrails for Container Registry,20/03/2025,NEW
Kubernetes,Variable *,Enforce-Guardrails-Kubernetes,Enforce recommended guardrails for Kubernetes,Enforce recommended guardrails for Kubernetes,Initiative,Custom,This policy initiative is a group of policies that ensures Kubernetes is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsKubernetesPolicyAssignment.json,Enforce recommended guardrails for Kubernetes,20/03/2025,NEW
Cosmos DB,Variable *,Enforce-Guardrails-CosmosDb,Enforce recommended guardrails for Cosmos DB,Enforce recommended guardrails for Cosmos DB,Initiative,Custom,This policy initiative is a group of policies that ensures Cosmos DB is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsCosmosDbPolicyAssignment.json,Enforce recommended guardrails for Cosmos DB,20/03/2025,NEW
MySQL,Variable *,Enforce-Guardrails-MySQL,Enforce recommended guardrails for MySQL,Enforce recommended guardrails for MySQL,Initiative,Custom,This policy initiative is a group of policies that ensures MySQL is compliant per regulated Landing Zones.,Audit,ENFORCE-GuardrailsMySQLPolicyAssignment.json,Enforce recommended guardrails for MySQL,20/03/2025,NEW
